"Metric_value"|"isPartial"|"Trend_Name"|"Metric_Name"|"current_dttm"|"Keyword_List"|"Cat_CD"|"Type"|"date"
"79"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-22 00:00:00.000000"
"4"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-22 00:00:00.000000"
"60"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-23 00:00:00.000000"
"78"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-23 00:00:00.000000"
"4"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-23 00:00:00.000000"
"27"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-24 00:00:00.000000"
"70"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-24 00:00:00.000000"
"6"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-24 00:00:00.000000"
"29"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-25 00:00:00.000000"
"67"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-25 00:00:00.000000"
"10"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-25 00:00:00.000000"
"27"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-26 00:00:00.000000"
"66"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-26 00:00:00.000000"
