"CLient_nbr"|"Client_name"|"Site_Id"|"Site_Type"|"Address"|"City"|"State"|"Zipcode"|"Region"|"Country_cd"|"Nbr_at_location"|"People_type"
"1"|"Teradata"|"office-92130"|"Employee"|"n/a"|"San Diego"|"CA"|"92130"|"AMERICAS"|"USA"|"60"|"Office"
"1"|"Teradata"|"Virtual-45424"|"Employee"|"n/a"|"Dayton"|"OH"|"45424"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-63116"|"Employee"|"n/a"|"Saint Louis"|"MO"|"63116"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-75065"|"Employee"|"n/a"|"Lake Dallas"|"TX"|"75065"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-7423"|"Employee"|"n/a"|"Ho Ho Kus"|"NJ"|"07423"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-27520"|"Employee"|"n/a"|"Clayton"|"NC"|"27520"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-27518"|"Employee"|"n/a"|"Cary"|"NC"|"27518"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"office-30038"|"Employee"|"n/a"|"Lithonia"|"GA"|"30038"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-94114"|"Employee"|"n/a"|"San Francisco"|"CA"|"94114"|"AMERICAS"|"USA"|"3"|"Virtual"
"1"|"Teradata"|"office-30097"|"Employee"|"n/a"|"Duluth"|"GA"|"30097"|"AMERICAS"|"USA"|"8"|"Office"
"1"|"Teradata"|"Virtual-89123"|"Employee"|"n/a"|"Las Vegas"|"NV"|"89123"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-78664"|"Employee"|"n/a"|"Round Rock"|"TX"|"78664"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-90025"|"Employee"|"n/a"|"Los Angeles"|"CA"|"90025"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-98103"|"Employee"|"n/a"|"Seattle"|"WA"|"98103"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-18040"|"Employee"|"n/a"|"Easton"|"PA"|"18040"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-92869"|"Employee"|"n/a"|"Orange"|"CA"|"92869"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-43040"|"Employee"|"n/a"|"Marysville"|"OH"|"43040"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-2114"|"Employee"|"n/a"|"Boston"|"MA"|"02114"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-27703"|"Employee"|"n/a"|"Durham"|"NC"|"27703"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-30548"|"Employee"|"n/a"|"Hoschton"|"GA"|"30548"|"AMERICAS"|"USA"|"2"|"Office"
"1"|"Teradata"|"Virtual-76051"|"Employee"|"n/a"|"Grapevine"|"TX"|"76051"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"office-92845"|"Employee"|"n/a"|"Garden Grove"|"CA"|"92845"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-27614"|"Employee"|"n/a"|"Raleigh"|"NC"|"27614"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-92003"|"Employee"|"n/a"|"Bonsall"|"CA"|"92003"|"AMERICAS"|"USA"|"4"|"Office"
